date,ticker,side,shares,price,value,cost
2026-07-13,688301,buy,2.0668,96.77,200.0,0.4
2026-07-13,688313,buy,1.4327,139.6,200.0,0.4
2026-07-13,688322,buy,1.8247,109.61,200.0,0.4
2026-07-13,688331,buy,1.5094,132.5,200.0,0.4
2026-07-13,688333,buy,1.9608,102.0,200.0,0.4
2026-07-13,688343,buy,2.3764,84.16,200.0,0.4
2026-07-13,688347,buy,0.5714,350.0,200.0,0.4
2026-07-13,688361,buy,0.5128,389.99,200.0,0.4
2026-07-13,688362,buy,2.0833,96.0,200.0,0.4
2026-07-13,688372,buy,1.201,166.53,200.0,0.4
2026-07-13,688385,buy,2.9895,66.9,200.0,0.4
2026-07-13,688387,buy,10.7527,18.6,200.0,0.4
2026-07-13,688396,buy,2.5773,77.6,200.0,0.4
2026-07-13,688400,buy,3.9976,50.03,200.0,0.4
2026-07-13,688403,buy,6.3898,31.3,200.0,0.4
2026-07-13,688409,buy,0.7886,253.63,200.0,0.4
2026-07-13,688411,buy,0.9592,208.5,200.0,0.4
2026-07-13,688432,buy,4.0733,49.1,200.0,0.4
2026-07-13,688449,buy,2.845,70.3,200.0,0.4
2026-07-13,688469,buy,23.0947,8.66,200.0,0.4
2026-07-13,688498,buy,0.1258,1590.2,200.0,0.4
2026-07-13,688502,buy,0.3341,598.54,200.0,0.4
2026-07-13,688519,buy,0.6456,309.8,200.0,0.4
2026-07-13,688521,buy,0.7365,271.54,200.0,0.4
2026-07-13,688525,buy,0.5891,339.49,200.0,0.4
2026-07-13,688531,buy,1.2559,159.25,200.0,0.4
2026-07-13,688536,buy,0.6842,292.33,200.0,0.4
2026-07-13,688545,buy,1.897,105.43,200.0,0.4
2026-07-13,688548,buy,4.5177,44.27,200.0,0.4
2026-07-13,688549,buy,7.1429,28.0,200.0,0.4
2026-07-13,688585,buy,1.4761,135.49,200.0,0.4
2026-07-13,688608,buy,1.562,128.04,200.0,0.4
2026-07-13,688627,buy,0.3513,569.35,200.0,0.4
2026-07-13,688629,buy,0.978,204.5,200.0,0.4
2026-07-13,688630,buy,0.4478,446.58,200.0,0.4
2026-07-13,688635,buy,0.5722,349.5,200.0,0.4
2026-07-13,688652,buy,1.0477,190.9,200.0,0.4
2026-07-13,688668,buy,0.6211,322.0,200.0,0.4
2026-07-13,688676,buy,2.7735,72.11,200.0,0.4
2026-07-13,688702,buy,0.5089,393.0,200.0,0.4
2026-07-13,688766,buy,0.3317,603.0,200.0,0.4
2026-07-13,688777,buy,2.0812,96.1,200.0,0.4
2026-07-13,688783,buy,3.9355,50.82,200.0,0.4
2026-07-13,688795,buy,0.2794,715.9,200.0,0.4
2026-07-13,688797,buy,0.4854,412.0,200.0,0.4
2026-07-13,688802,buy,0.2056,972.86,200.0,0.4
2026-07-13,688808,buy,0.1034,1934.99,200.0,0.4
2026-07-13,688809,buy,0.3717,538.04,200.0,0.4
2026-07-13,688818,buy,2.9429,67.96,200.0,0.4
2026-07-13,688820,buy,1.061,188.5,200.0,0.4
2026-07-13,688981,buy,1.2226,163.58,200.0,0.4
